web-scraper-order,web-scraper-start-url,Links de cada linha,Links de cada linha-href,Nome da linha,Nome da rua
"1616976499-72","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1975 Amparo (Bacurau)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1975_AMPARO_BACURAU-Recife-1662-774895-292698-0","1975 AMPARO (BACURAU)",""
"1616976877-225","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","321 Jardim São Paulo (Abdias de Carvalho)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-321_JARDIM_S%C3%83O_PAULO_ABDIAS_DE_CARVALHO-Recife-1662-774895-293001-0","321 Jardim São Paulo (Abdias de Carvalho)",""
"1616977098-302","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","144 UR-04 / TI Tancredo Neves","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-144_UR_04_TI_TANCREDO_NEVES-Recife-1662-774895-292841-0","144 UR-04 / TI Tancredo Neves",""
"1616976975-259","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","212 Jardim São Paulo","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-212_JARDIM_S%C3%83O_PAULO-Recife-1662-774895-292687-0","212 Jardim São Paulo",""
"1616976732-167","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","718 Córrego do Euclides / Derby","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-718_C%C3%93RREGO_DO_EUCLIDES_DERBY-Recife-1662-774895-681887-0","718 Córrego do Euclides / Derby",""
"1616976648-133","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","881 TI Xambá / Rio Doce (Av. Getúlio Vargas)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-881_TI_XAMB%C3%81_RIO_DOCE_AV_GET%C3%9ALIO_VARGAS-Recife-1662-774895-582483-0","881 TI XAMBÁ / RIO DOCE (AV. GETÚLIO VARGAS)",""
"1616977143-320","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","116 Circular (Príncipe)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-116_CIRCULAR_PR%C3%8DNCIPE-Recife-1662-774895-292738-0","116 CIRCULAR (PRÍNCIPE)",""
"1616976334-6","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","4134 Lagoa Encantada (Cais de Santa Rita)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-4134_LAGOA_ENCANTADA_CAIS_DE_SANTA_RITA-Recife-1662-774895-27651577-0","4134 Lagoa Encantada (Cais de Santa Rita)",""
"1616976383-25","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","2466 Vera Cruz / TI Camaragibe","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-2466_VERA_CRUZ_TI_CAMARAGIBE-Recife-1662-774895-292864-0","2466 VERA CRUZ / TI CAMARAGIBE",""
"1616976780-186","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","622 Vasco da Gama (Cruz Cabugá)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-622_VASCO_DA_GAMA_CRUZ_CABUG%C3%81-Recife-1662-774895-30585718-0","622 Vasco da Gama (Cruz Cabugá)",""
"1616976551-93","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1944 Loteamento Conceição / TI Pelópidas","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1944_LOTEAMENTO_CONCEI%C3%87%C3%83O_TI_PEL%C3%93PIDAS-Recife-1662-774895-292993-0","1944 Loteamento Conceição / TI Pelópidas",""
"1616976344-10","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","2920 TI Rio Doce / TI CDU","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-2920_TI_RIO_DOCE_TI_CDU-Recife-1662-774895-25212405-0","2920 TI RIO DOCE / TI CDU",""
"1616977209-347","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","034 Curcurana / TI Cajueiro Seco","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-034_CURCURANA_TI_CAJUEIRO_SECO-Recife-1662-774895-292897-0","034 CURCURANA / TI CAJUEIRO SECO",""
"1616977231-356","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","011 Piedade / Derby","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-011_PIEDADE_DERBY-Recife-1662-774895-292670-0","011 Piedade / Derby",""
"1616976838-209","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","411 Plaza Shopping (Conde da Boa Vista)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-411_PLAZA_SHOPPING_CONDE_DA_BOA_VISTA-Recife-1662-774895-30585713-0","411 Plaza Shopping (Conde da Boa Vista)",""
"1616976910-234","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","274 Lote 56 / TI Jaboatão","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-274_LOTE_56_TI_JABOAT%C3%83O-Recife-1662-774895-638304-0","274 LOTE 56 / TI JABOATÃO",""
"1616976388-27","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","2463 Araçoiaba / TI Camaragibe","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-2463_ARA%C3%87OIABA_TI_CAMARAGIBE-Recife-1662-774895-292863-0","2463 ARAÇOIABA / TI CAMARAGIBE",""
"1616977202-344","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","038 Residencial Boa Viagem (Bacurau)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-038_RESIDENCIAL_BOA_VIAGEM_BACURAU-Recife-1662-774895-292958-0","038 Residencial Boa Viagem (Bacurau)",""
"1616976482-65","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1983 TI Rio Doce (Princesa Isabel)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1983_TI_RIO_DOCE_PRINCESA_ISABEL-Recife-1662-774895-609757-0","1983 TI RIO DOCE (PRINCESA ISABEL)",""
"1616976494-70","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1977 TI Pelópidas (Conde da Boa Vista)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1977_TI_PEL%C3%93PIDAS_CONDE_DA_BOA_VISTA-Recife-1662-774895-292979-0","1977 TI Pelópidas (Conde da Boa Vista)",""
"1616976589-109","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1917 Caetés II / TI Abreu e Lima","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1917_CAET%C3%89S_II_TI_ABREU_E_LIMA-Recife-1662-774895-484377-0","1917 CAETÉS II / TI ABREU E LIMA",""
"1616977100-303","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","143 UR-06 / TI Tancredo Neves","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-143_UR_06_TI_TANCREDO_NEVES-Recife-1662-774895-292840-0","143 UR-06 / TI Tancredo Neves",""
"1616976422-41","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","2431 TI CDU (Circular)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-2431_TI_CDU_CIRCULAR-Recife-1662-774895-2285329-0","2431 TI CDU (CIRCULAR)",""
"1616976635-128","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","886 Ouro Preto / Rio Doce","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-886_OURO_PRETO_RIO_DOCE-Recife-1662-774895-516837-0","886 OURO PRETO / RIO DOCE",""
"1616977023-279","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","178 Porto de Suape / TI Cabo","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-178_PORTO_DE_SUAPE_TI_CABO-Recife-1662-774895-506321-0","178 Porto de Suape / TI Cabo",""
"1616976509-76","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1971 Amparo","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1971_AMPARO-Recife-1662-774895-292635-0","1971 AMPARO",""
"1616976398-31","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","2456 TI Cosme e Damião / TI Camaragibe (Via Viana)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-2456_TI_COSME_E_DAMI%C3%83O_TI_CAMARAGIBE_VIA_VIANA-Recife-1662-774895-33663389-0","2456 TI COSME E DAMIÃO / TI CAMARAGIBE (VIA VIANA)",""
"1616976594-111","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1912 Caetés I / TI Abreu e Lima","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1912_CAET%C3%89S_I_TI_ABREU_E_LIMA-Recife-1662-774895-471283-0","1912 CAETÉS I / TI ABREU E LIMA",""
"1616977028-281","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","171 Loteamento Integração Muribeca / TI Cajueiro Seco","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-171_LOTEAMENTO_INTEGRA%C3%87%C3%83O_MURIBECA_TI_CAJUEIRO_SECO-Recife-1662-774895-33663395-0","171 LOTEAMENTO INTEGRAÇÃO MURIBECA / TI CAJUEIRO SECO",""
